x,Q
4.729468694,13.75599041
5.315682281,11.62182018
5.743380855,10.5559833
6.215608834,9.249195734
6.741344196,8.102446797
7.311608961,7.359371576
7.881873727,6.684443767
8.377739712,6.00433466
9.16496945,5.648826353
9.734139005,5.194110843
10.87576375,4.660229564
12.05674053,4.180717698
13.56709513,3.719207299
15.09470334,3.232941641
16.61136213,3.114285783
18.08621411,2.784607568
19.60917711,2.463238034
21.07701023,2.322214609
22.68496513,2.120488077
24.21788214,1.934323381
25.75079915,1.768277382
27.28371616,1.602726606
28.81663317,1.479302684
30.34955018,1.362468844
31.88246719,1.248176364
33.39990019,1.147551282
34.90542241,1.039231521
36.48121822,0.974138093
38.07220027,0.877622603
39.51489314,0.828145597
40.67932048,0.725253254
41.39352045,0.739936463
42.70247232,0.680567952
44.14580327,0.642853588
45.46432629,0.575339421
47.07228119,0.555909016
48.6051982,0.513647701
50.20779326,0.467035536
51.67103222,0.442756451
53.20394923,0.411041499
54.70202722,0.392516735
55.77208292,0.363511241
57.01882224,0.369239758
58.69856085,0.39197836
60.19634607,0.361920651
62.02626181,0.302520863
63.65565611,0.282664619
65.16534711,0.264889616
66.72149013,0.249714486
68.25440714,0.226214675
69.78732415,0.215480174
71.32024116,0.204707513
72.97260625,0.207127677
74.2641386,0.233781928
75.43124587,0.327572827
